id,time_stamp,pm2.5_atm,pm2.5_cf_1,name
36673,2020-05-01T00:00:00Z,2.8,3,419 S. 4th St
36673,2024-01-01T00:00:00Z,16.4,17.2,419 S. 4th St
36673,2021-08-01T00:00:00Z,29.5,37.1,419 S. 4th St
36673,2021-03-01T00:00:00Z,98.9,145.6,419 S. 4th St
36673,2022-08-01T00:00:00Z,12.1,12.8,419 S. 4th St
36673,2020-11-01T00:00:00Z,10.7,11.5,419 S. 4th St
36673,2021-01-01T00:00:00Z,9.4,9.9,419 S. 4th St
36673,2020-03-01T00:00:00Z,6.4,6.7,419 S. 4th St
36673,2025-05-01T00:00:00Z,4.2,4.7,419 S. 4th St
36673,2020-02-01T00:00:00Z,7.3,7.7,419 S. 4th St
36673,2021-02-01T00:00:00Z,8.3,8.9,419 S. 4th St
36673,2020-04-01T00:00:00Z,5.1,5.4,419 S. 4th St
36673,2022-10-01T00:00:00Z,12.6,12.8,419 S. 4th St
36673,2020-12-01T00:00:00Z,13.3,14.2,419 S. 4th St
36673,2022-05-01T00:00:00Z,1.9,1.9,419 S. 4th St
36673,2021-12-01T00:00:00Z,6.4,6.5,419 S. 4th St
36673,2023-03-01T00:00:00Z,6.2,6.3,419 S. 4th St
36673,2021-09-01T00:00:00Z,19,23.7,419 S. 4th St
36673,2025-01-01T00:00:00Z,16.3,17.3,419 S. 4th St
36673,2024-12-01T00:00:00Z,12.5,13.2,419 S. 4th St
36673,2023-12-01T00:00:00Z,15.8,16.6,419 S. 4th St
36673,2025-03-01T00:00:00Z,4,4.1,419 S. 4th St
36673,2024-02-01T00:00:00Z,10.4,10.9,419 S. 4th St
36673,2025-02-01T00:00:00Z,10.9,11.6,419 S. 4th St
36673,2024-10-01T00:00:00Z,17.2,20.8,419 S. 4th St
36673,2022-12-01T00:00:00Z,12.5,13,419 S. 4th St
36673,2022-02-01T00:00:00Z,6.1,6.3,419 S. 4th St
36673,2022-11-01T00:00:00Z,22.6,24.6,419 S. 4th St
36673,2023-02-01T00:00:00Z,6.5,6.7,419 S. 4th St
36673,2025-06-01T00:00:00Z,2.9,2.9,419 S. 4th St
36673,2021-07-01T00:00:00Z,132,192.2,419 S. 4th St
36673,2023-09-01T00:00:00Z,5.6,5.8,419 S. 4th St
36673,2023-08-01T00:00:00Z,13.3,13.9,419 S. 4th St
36673,2021-04-01T00:00:00Z,1213.9,1819.6,419 S. 4th St
36673,2025-07-01T00:00:00Z,4.8,5,419 S. 4th St
36673,2020-07-01T00:00:00Z,5.8,5.9,419 S. 4th St
36673,2024-06-01T00:00:00Z,2.2,2.3,419 S. 4th St
36673,2024-04-01T00:00:00Z,7.1,8.3,419 S. 4th St
36673,2020-09-01T00:00:00Z,32.5,44.4,419 S. 4th St
36673,2023-11-01T00:00:00Z,16.6,17.7,419 S. 4th St
36673,2021-05-01T00:00:00Z,335.2,501.8,419 S. 4th St
36673,2024-07-01T00:00:00Z,23.7,29.5,419 S. 4th St
36673,2024-05-01T00:00:00Z,1.9,2,419 S. 4th St
36673,2025-04-01T00:00:00Z,4,4.3,419 S. 4th St
36673,2024-03-01T00:00:00Z,3.9,4.2,419 S. 4th St
36673,2023-06-01T00:00:00Z,5.3,5.3,419 S. 4th St
36673,2022-09-01T00:00:00Z,57,81.9,419 S. 4th St
36673,2020-10-01T00:00:00Z,13.3,14.8,419 S. 4th St
36673,2024-09-01T00:00:00Z,28.8,40.2,419 S. 4th St
36673,2022-04-01T00:00:00Z,3.4,3.4,419 S. 4th St
36673,2023-10-01T00:00:00Z,9,9.2,419 S. 4th St
36673,2022-06-01T00:00:00Z,2.7,2.7,419 S. 4th St
36673,2020-08-01T00:00:00Z,15.1,18.2,419 S. 4th St
36673,2023-01-01T00:00:00Z,12.3,12.6,419 S. 4th St
36673,2024-08-01T00:00:00Z,18.6,20.2,419 S. 4th St
36673,2020-06-01T00:00:00Z,2.9,2.9,419 S. 4th St
36673,2021-10-01T00:00:00Z,7.7,7.9,419 S. 4th St
36673,2022-01-01T00:00:00Z,15.8,16.4,419 S. 4th St
36673,2021-11-01T00:00:00Z,10.9,11.4,419 S. 4th St
36673,2022-07-01T00:00:00Z,6.8,6.9,419 S. 4th St
36673,2022-03-01T00:00:00Z,4.4,4.4,419 S. 4th St
36673,2024-11-01T00:00:00Z,11,11.6,419 S. 4th St
36673,2023-05-01T00:00:00Z,8.7,10.2,419 S. 4th St
36673,2023-07-01T00:00:00Z,9.2,9.2,419 S. 4th St
36673,2021-06-01T00:00:00Z,209.7,312.7,419 S. 4th St
