id,time_stamp,pm2.5_atm,pm2.5_cf_1,name
9810,2020-11-01T00:00:00Z,23.1,27.4,PSU STAR LAB KFP
9810,2021-05-01T00:00:00Z,3.9,4.3,PSU STAR LAB KFP
9810,2020-05-01T00:00:00Z,4.5,4.6,PSU STAR LAB KFP
9810,2023-12-01T00:00:00Z,23.6,28.3,PSU STAR LAB KFP
9810,2020-03-01T00:00:00Z,12.6,13.7,PSU STAR LAB KFP
9810,2020-09-01T00:00:00Z,56.1,79.9,PSU STAR LAB KFP
9810,2021-07-01T00:00:00Z,31.9,40.5,PSU STAR LAB KFP
9810,2024-11-01T00:00:00Z,13,14.2,PSU STAR LAB KFP
9810,2020-06-01T00:00:00Z,2.7,2.7,PSU STAR LAB KFP
9810,2021-11-01T00:00:00Z,25.8,30.8,PSU STAR LAB KFP
9810,2024-04-01T00:00:00Z,6.2,6.3,PSU STAR LAB KFP
9810,2024-12-01T00:00:00Z,20.1,22.8,PSU STAR LAB KFP
9810,2021-12-01T00:00:00Z,17.3,20.4,PSU STAR LAB KFP
9810,2022-02-01T00:00:00Z,17.2,19.3,PSU STAR LAB KFP
9810,2023-01-01T00:00:00Z,15.6,17.8,PSU STAR LAB KFP
9810,2022-11-01T00:00:00Z,23.9,27.8,PSU STAR LAB KFP
9810,2025-06-01T00:00:00Z,5.1,5.1,PSU STAR LAB KFP
9810,2024-08-01T00:00:00Z,27.7,36.8,PSU STAR LAB KFP
9810,2024-09-01T00:00:00Z,11,12.1,PSU STAR LAB KFP
9810,2020-07-01T00:00:00Z,12.9,15.4,PSU STAR LAB KFP
9810,2021-01-01T00:00:00Z,18.3,21.4,PSU STAR LAB KFP
9810,2021-04-01T00:00:00Z,9.2,9.7,PSU STAR LAB KFP
9810,2025-05-01T00:00:00Z,5,5,PSU STAR LAB KFP
9810,2021-02-01T00:00:00Z,16.2,19.3,PSU STAR LAB KFP
9810,2021-03-01T00:00:00Z,11,12.4,PSU STAR LAB KFP
9810,2022-07-01T00:00:00Z,10.6,12.1,PSU STAR LAB KFP
9810,2022-10-01T00:00:00Z,17.5,19.1,PSU STAR LAB KFP
9810,2021-06-01T00:00:00Z,5.5,5.7,PSU STAR LAB KFP
9810,2020-08-01T00:00:00Z,20.5,26.5,PSU STAR LAB KFP
9810,2022-06-01T00:00:00Z,3,3,PSU STAR LAB KFP
9810,2022-08-01T00:00:00Z,15.4,17.2,PSU STAR LAB KFP
9810,2025-04-01T00:00:00Z,10.5,12.3,PSU STAR LAB KFP
9810,2024-02-01T00:00:00Z,9.9,10.6,PSU STAR LAB KFP
9810,2021-09-01T00:00:00Z,51.2,73.3,PSU STAR LAB KFP
9810,2023-05-01T00:00:00Z,6.8,6.9,PSU STAR LAB KFP
9810,2021-08-01T00:00:00Z,119.8,161.7,PSU STAR LAB KFP
9810,2023-02-01T00:00:00Z,16.1,18.6,PSU STAR LAB KFP
9810,2022-05-01T00:00:00Z,2.6,2.6,PSU STAR LAB KFP
9810,2023-11-01T00:00:00Z,27.2,32.6,PSU STAR LAB KFP
9810,2024-01-01T00:00:00Z,10.1,11.1,PSU STAR LAB KFP
9810,2020-12-01T00:00:00Z,28,33.3,PSU STAR LAB KFP
9810,2020-01-01T00:00:00Z,15.2,17.6,PSU STAR LAB KFP
9810,2022-04-01T00:00:00Z,6.7,7,PSU STAR LAB KFP
9810,2022-09-01T00:00:00Z,17.5,19.9,PSU STAR LAB KFP
9810,2025-03-01T00:00:00Z,6.7,7.1,PSU STAR LAB KFP
9810,2025-07-01T00:00:00Z,11.2,13.2,PSU STAR LAB KFP
9810,2023-10-01T00:00:00Z,14.2,15.5,PSU STAR LAB KFP
9810,2023-07-01T00:00:00Z,11.4,11.9,PSU STAR LAB KFP
9810,2020-02-01T00:00:00Z,19,21.8,PSU STAR LAB KFP
9810,2023-06-01T00:00:00Z,5.7,5.8,PSU STAR LAB KFP
9810,2022-01-01T00:00:00Z,23.8,28.7,PSU STAR LAB KFP
9810,2023-08-01T00:00:00Z,34.2,44.8,PSU STAR LAB KFP
9810,2023-04-01T00:00:00Z,4.7,4.8,PSU STAR LAB KFP
9810,2024-10-01T00:00:00Z,12.7,13.8,PSU STAR LAB KFP
9810,2025-01-01T00:00:00Z,23.5,27,PSU STAR LAB KFP
9810,2024-05-01T00:00:00Z,3.9,4,PSU STAR LAB KFP
9810,2021-10-01T00:00:00Z,8.6,9.2,PSU STAR LAB KFP
9810,2024-07-01T00:00:00Z,24.7,31.6,PSU STAR LAB KFP
9810,2022-03-01T00:00:00Z,10.1,10.8,PSU STAR LAB KFP
9810,2020-10-01T00:00:00Z,21.9,27.1,PSU STAR LAB KFP
9810,2020-04-01T00:00:00Z,8,8.5,PSU STAR LAB KFP
9810,2023-03-01T00:00:00Z,9.3,9.9,PSU STAR LAB KFP
9810,2025-02-01T00:00:00Z,17.5,19.1,PSU STAR LAB KFP
9810,2023-09-01T00:00:00Z,14.6,17.3,PSU STAR LAB KFP
9810,2024-06-01T00:00:00Z,3.1,3.2,PSU STAR LAB KFP
9810,2024-03-01T00:00:00Z,5.7,6,PSU STAR LAB KFP
9810,2022-12-01T00:00:00Z,23.9,28,PSU STAR LAB KFP
35383,2021-06-01T00:00:00Z,5.1,5.2,Hargadine
35383,2023-06-01T00:00:00Z,4.7,4.7,Hargadine
35383,2024-07-01T00:00:00Z,27.9,35.6,Hargadine
35383,2025-03-01T00:00:00Z,2.6,2.7,Hargadine
35383,2023-08-01T00:00:00Z,68.2,97.4,Hargadine
35383,2022-12-01T00:00:00Z,12.5,13.2,Hargadine
35383,2025-07-01T00:00:00Z,3.8,4.1,Hargadine
35383,2023-02-01T00:00:00Z,5.2,5.2,Hargadine
35383,2022-07-01T00:00:00Z,10.6,12.6,Hargadine
35383,2021-12-01T00:00:00Z,13.1,13.8,Hargadine
35383,2021-11-01T00:00:00Z,11.9,12,Hargadine
35383,2024-09-01T00:00:00Z,10.3,11.2,Hargadine
35383,2023-01-01T00:00:00Z,5.3,5.4,Hargadine
35383,2021-05-01T00:00:00Z,2.7,2.7,Hargadine
35383,2021-10-01T00:00:00Z,4.2,4.2,Hargadine
35383,2024-10-01T00:00:00Z,5.2,5.2,Hargadine
35383,2022-08-01T00:00:00Z,19.9,24.1,Hargadine
35383,2021-08-01T00:00:00Z,80.6,117.9,Hargadine
35383,2024-01-01T00:00:00Z,4.3,4.3,Hargadine
35383,2025-05-01T00:00:00Z,2.1,2.1,Hargadine
35383,2023-12-01T00:00:00Z,14.6,15.9,Hargadine
35383,2021-04-01T00:00:00Z,7.1,7.7,Hargadine
35383,2024-02-01T00:00:00Z,4,4.1,Hargadine
35383,2023-03-01T00:00:00Z,4.1,4.1,Hargadine
35383,2022-11-01T00:00:00Z,10.9,11.1,Hargadine
35383,2021-01-01T00:00:00Z,7.3,7.4,Hargadine
35383,2022-03-01T00:00:00Z,5.7,5.7,Hargadine
35383,2020-09-01T00:00:00Z,43.1,59.4,Hargadine
35383,2021-02-01T00:00:00Z,8.6,8.8,Hargadine
35383,2021-07-01T00:00:00Z,14.9,16,Hargadine
35383,2022-09-01T00:00:00Z,20.9,26.4,Hargadine
35383,2020-10-01T00:00:00Z,22.2,30.5,Hargadine
35383,2023-10-01T00:00:00Z,6.9,6.9,Hargadine
35383,2022-01-01T00:00:00Z,7.4,7.5,Hargadine
35383,2022-06-01T00:00:00Z,3.3,3.3,Hargadine
35383,2020-12-01T00:00:00Z,13.8,14.4,Hargadine
35383,2025-04-01T00:00:00Z,2,2,Hargadine
35383,2022-04-01T00:00:00Z,3.9,4,Hargadine
35383,2023-04-01T00:00:00Z,4.5,4.7,Hargadine
35383,2024-08-01T00:00:00Z,18.7,22.6,Hargadine
35383,2022-10-01T00:00:00Z,15.5,16.8,Hargadine
35383,2021-03-01T00:00:00Z,4.8,4.9,Hargadine
35383,2023-11-01T00:00:00Z,10.7,10.8,Hargadine
35383,2023-07-01T00:00:00Z,10.1,10.7,Hargadine
35383,2024-11-01T00:00:00Z,9.3,9.5,Hargadine
35383,2025-01-01T00:00:00Z,12.9,13.1,Hargadine
35383,2023-05-01T00:00:00Z,6.1,6.2,Hargadine
35383,2024-12-01T00:00:00Z,12.8,13.4,Hargadine
35383,2020-11-01T00:00:00Z,14.3,15.1,Hargadine
35383,2025-02-01T00:00:00Z,6.7,6.9,Hargadine
35383,2021-09-01T00:00:00Z,47.6,68.2,Hargadine
35383,2022-05-01T00:00:00Z,2.3,2.4,Hargadine
35383,2023-09-01T00:00:00Z,17.9,22.1,Hargadine
35383,2025-06-01T00:00:00Z,2.6,2.6,Hargadine
35383,2022-02-01T00:00:00Z,8.2,8.8,Hargadine
3255,2021-09-01T00:00:00Z,12.7,15.9,LRAPA - Cottage Grove South
3255,2020-10-01T00:00:00Z,16.7,18,LRAPA - Cottage Grove South
3255,2023-12-01T00:00:00Z,10.7,11.1,LRAPA - Cottage Grove South
3255,2022-08-01T00:00:00Z,6,6.2,LRAPA - Cottage Grove South
3255,2021-11-01T00:00:00Z,9.5,9.7,LRAPA - Cottage Grove South
3255,2025-04-01T00:00:00Z,5,5,LRAPA - Cottage Grove South
3255,2023-09-01T00:00:00Z,10.4,11.7,LRAPA - Cottage Grove South
3255,2022-10-01T00:00:00Z,29.7,38.2,LRAPA - Cottage Grove South
3255,2022-06-01T00:00:00Z,3.4,3.4,LRAPA - Cottage Grove South
3255,2024-12-01T00:00:00Z,14.7,14.9,LRAPA - Cottage Grove South
3255,2021-08-01T00:00:00Z,12,14.1,LRAPA - Cottage Grove South
3255,2023-07-01T00:00:00Z,5.1,5.5,LRAPA - Cottage Grove South
3255,2022-04-01T00:00:00Z,3.7,3.7,LRAPA - Cottage Grove South
3255,2021-10-01T00:00:00Z,7.8,8.2,LRAPA - Cottage Grove South
3255,2020-05-01T00:00:00Z,4.9,5,LRAPA - Cottage Grove South
3255,2024-06-01T00:00:00Z,2.8,2.9,LRAPA - Cottage Grove South
3255,2020-11-01T00:00:00Z,15.6,16.8,LRAPA - Cottage Grove South
3255,2022-11-01T00:00:00Z,22.1,24.6,LRAPA - Cottage Grove South
3255,2024-08-01T00:00:00Z,9.2,10.1,LRAPA - Cottage Grove South
3255,2025-06-01T00:00:00Z,4.9,5.1,LRAPA - Cottage Grove South
3255,2023-08-01T00:00:00Z,26.8,36.6,LRAPA - Cottage Grove South
3255,2021-05-01T00:00:00Z,3.8,3.9,LRAPA - Cottage Grove South
3255,2021-01-01T00:00:00Z,12.1,12.8,LRAPA - Cottage Grove South
3255,2020-04-01T00:00:00Z,7,7.2,LRAPA - Cottage Grove South
3255,2022-03-01T00:00:00Z,5.8,5.9,LRAPA - Cottage Grove South
3255,2020-09-01T00:00:00Z,123.8,183.2,LRAPA - Cottage Grove South
3255,2022-07-01T00:00:00Z,5.3,5.4,LRAPA - Cottage Grove South
3255,2022-12-01T00:00:00Z,14.4,16.3,LRAPA - Cottage Grove South
3255,2022-02-01T00:00:00Z,9.8,10.1,LRAPA - Cottage Grove South
3255,2023-04-01T00:00:00Z,3.7,3.7,LRAPA - Cottage Grove South
3255,2024-10-01T00:00:00Z,10.8,11.5,LRAPA - Cottage Grove South
3255,2025-05-01T00:00:00Z,4.1,4.6,LRAPA - Cottage Grove South
3255,2024-01-01T00:00:00Z,4.3,4.4,LRAPA - Cottage Grove South
3255,2024-05-01T00:00:00Z,4.2,4.5,LRAPA - Cottage Grove South
3255,2020-01-01T00:00:00Z,6.4,6.6,LRAPA - Cottage Grove South
3255,2022-05-01T00:00:00Z,2.5,2.6,LRAPA - Cottage Grove South
3255,2020-03-01T00:00:00Z,9.1,9.3,LRAPA - Cottage Grove South
3255,2024-11-01T00:00:00Z,10.9,11.9,LRAPA - Cottage Grove South
3255,2024-07-01T00:00:00Z,4.3,4.5,LRAPA - Cottage Grove South
3255,2021-12-01T00:00:00Z,6.6,6.8,LRAPA - Cottage Grove South
3255,2021-03-01T00:00:00Z,8.1,8.3,LRAPA - Cottage Grove South
3255,2020-08-01T00:00:00Z,4.9,5.1,LRAPA - Cottage Grove South
