id,time_stamp,pm2.5_atm,pm2.5_cf_1,name
18161,2023-01-01T00:00:00Z,2.8,2.8,Issaquah Highlands
18161,2020-08-01T00:00:00Z,5.7,5.7,Issaquah Highlands
18161,2021-11-01T00:00:00Z,2.7,2.8,Issaquah Highlands
18161,2024-11-01T00:00:00Z,4.6,4.7,Issaquah Highlands
18161,2022-03-01T00:00:00Z,4.2,4.4,Issaquah Highlands
18161,2023-03-01T00:00:00Z,3.2,3.3,Issaquah Highlands
18161,2024-01-01T00:00:00Z,3.5,3.6,Issaquah Highlands
18161,2023-10-01T00:00:00Z,6.4,6.4,Issaquah Highlands
18161,2022-09-01T00:00:00Z,16,18.3,Issaquah Highlands
18161,2024-03-01T00:00:00Z,3.1,3.2,Issaquah Highlands
18161,2020-01-01T00:00:00Z,2.1,2.2,Issaquah Highlands
18161,2021-06-01T00:00:00Z,7.5,8,Issaquah Highlands
18161,2022-12-01T00:00:00Z,4.6,4.7,Issaquah Highlands
18161,2022-04-01T00:00:00Z,3,3.2,Issaquah Highlands
18161,2022-11-01T00:00:00Z,7.4,7.4,Issaquah Highlands
18161,2021-09-01T00:00:00Z,5,5.1,Issaquah Highlands
18161,2023-02-01T00:00:00Z,2.6,2.6,Issaquah Highlands
18161,2021-02-01T00:00:00Z,2.8,2.9,Issaquah Highlands
18161,2021-01-01T00:00:00Z,3.9,3.9,Issaquah Highlands
18161,2023-08-01T00:00:00Z,14,16.4,Issaquah Highlands
18161,2025-02-01T00:00:00Z,3.5,3.6,Issaquah Highlands
18161,2021-12-01T00:00:00Z,3.5,3.6,Issaquah Highlands
18161,2023-04-01T00:00:00Z,2.5,2.5,Issaquah Highlands
18161,2023-05-01T00:00:00Z,6.4,6.5,Issaquah Highlands
18161,2024-09-01T00:00:00Z,8.1,8.4,Issaquah Highlands
18161,2023-12-01T00:00:00Z,3.7,3.7,Issaquah Highlands
18161,2025-03-01T00:00:00Z,3.4,3.5,Issaquah Highlands
18161,2024-05-01T00:00:00Z,2.6,2.6,Issaquah Highlands
18161,2024-02-01T00:00:00Z,3.2,3.3,Issaquah Highlands
18161,2022-06-01T00:00:00Z,4.2,4.2,Issaquah Highlands
18161,2022-10-01T00:00:00Z,40.4,56.5,Issaquah Highlands
18161,2022-01-01T00:00:00Z,5.2,5.4,Issaquah Highlands
18161,2024-08-01T00:00:00Z,7.9,8,Issaquah Highlands
18161,2023-11-01T00:00:00Z,7.2,7.2,Issaquah Highlands
18161,2020-05-01T00:00:00Z,3.2,3.2,Issaquah Highlands
18161,2024-04-01T00:00:00Z,2.5,2.5,Issaquah Highlands
18161,2021-08-01T00:00:00Z,11.9,13.8,Issaquah Highlands
18161,2021-07-01T00:00:00Z,7.6,7.7,Issaquah Highlands
18161,2023-07-01T00:00:00Z,6.3,6.5,Issaquah Highlands
18161,2022-02-01T00:00:00Z,5.4,5.5,Issaquah Highlands
18161,2024-10-01T00:00:00Z,4.1,4.1,Issaquah Highlands
18161,2025-01-01T00:00:00Z,6.6,6.6,Issaquah Highlands
18161,2020-11-01T00:00:00Z,4.3,4.4,Issaquah Highlands
18161,2024-12-01T00:00:00Z,5,5.2,Issaquah Highlands
