group,session,date,end_date,title,flag,deadline,content,lesson,example,assignment,note
Getting Started,Session 1,2025-08-25,NA,Introduction to the course,NA,NA,content/01-content,lesson/getting-setup,NA,NA,NA
Getting Started,Session 2,2025-08-27,NA,Tools of the trade,NA,NA,content/02-content,lesson/intro-quarto,example/intro-quarto,assignment/self-eval1,NA
Getting Started,Session 2,2025-08-29,NA,Self-Evaluation 1 due,TRUE,23:59:00,NA,NA,NA,assignment/self-eval1,NA
Getting Started,Session 3,2025-09-01,NA,No Class,NA,NA,NA,NA,NA,NA,(Labor Day)
Getting Started,Session 4,2025-09-03,NA,Meeting your data,NA,NA,content/04-content,lesson/intro-data,NA,NA,NA
Getting Started,Session 5,2025-09-08,NA,Manipulating data with the tidyverse,NA,NA,content/05-content,lesson/data-manip,example/data-manip,NA,NA,
Getting Started,Session 6,2025-09-10,NA,"Literate Programming, Quarto, Workflows",NA,NA,content/06-content,lesson/quarto,NA,NA,NA
Fundamentals of Spatial Data,Session 7,2025-09-15,NA,Areal Data: Coordinates and Geometries,NA,NA,content/07-content,NA,NA,NA,(remote)
Fundamentals of Spatial Data,Session 8,2025-09-17,NA,Areal Data: Vector Data,NA,NA,content/08-content,NA,example/vector-intro,NA,(remote)
Fundamentals of Spatial Data,Session 9,2025-09-22,NA,Areal Data: Rasters,NA,NA,content/09-content,NA,NA,NA,NA
Fundamentals of Spatial Data,Session 10,2025-09-24,NA,Mapping Geographic Data,NA,NA,content/10-content,NA,example/mapping-intro,NA,NA
Fundamentals of Spatial Data,Session 10,2025-09-25,NA,Homework 4,TRUE,NA,NA,NA,NA,assignment/04-maps,NA
Fundamentals of Spatial Data,Session 11,2025-09-29,NA,Operations With Vectors I,NA,NA,content/11-content,NA,NA,NA,(remote)
Fundamentals of Spatial Data,Session 12,2025-10-01,NA,Operations With Vectors II,NA,NA,content/12-content,NA,NA,NA,(remote)
Describing Spatial Patterns,Session 13,2025-10-06,NA,Operations With Rasters I,NA,NA,content/13-content,NA,example/combining-data,NA,NA
Describing Spatial Patterns,Session 14,2025-10-08,NA,Operations With Rasters II,NA,NA,content/14-content,NA,example/intro-analysis,NA,NA
Describing Spatial Patterns,Session 15,2025-10-13,NA,Combining Tabular Data and Spatial Data,NA,NA,content/15-content,NA,NA,NA,NA
Describing Spatial Patterns,Session 16,2025-10-15,NA,Combining Vectors and Continuous Rasters,NA,NA,content/16-content,NA,NA,NA,(remote)
Describing Spatial Patterns,Session 17,2025-10-20,NA,Combining Vectors and Categorical Rasters,NA,NA,content/17-content,NA,NA,NA,NA
Describing Spatial Patterns,Session 18,2025-10-22,NA,Point Patterns,NA,NA,content/18-content,NA,NA,NA,NA
Explaining Spatial Patterns,Session 19,2025-10-27,NA,Interpolation,NA,NA,content/19-content,NA,example/pattern-analysis,NA,NA
Explaining Spatial Patterns,Session 20,2025-10-29,NA,Proximity and Areal Data,NA,NA,content/20-content,NA,example/stat-analysis,NA,NA
Explaining Spatial Patterns,Session 21,2025-11-03,NA,Spatial Autocorrelation,NA,NA,content/21-content,NA,NA,NA,NA
Explaining Spatial Patterns,Session 22,2025-11-05,NA,Statistical Modelling I,NA,NA,content/22-content,NA,NA,NA,NA
Explaining Spatial Patterns,Session 23,2025-11-10,NA,Statistical Modelling II,NA,NA,content/23-content,NA,NA,NA,NA
Explaining Spatial Patterns,Session 24,2025-11-12,NA,Statistical Modelling III,NA,NA,content/24-content,NA,example/intro-ggplot,NA,NA
Explaining Spatial Patterns,Session 25,2025-11-17,NA,Movement and Networks I,NA,NA,content/25-content,NA,NA,NA,NA
Explaining Spatial Patterns,Session 26,2025-11-19,NA,Movement and Networks II,NA,NA,content/26-content,NA,NA,NA,NA
Explaining Spatial Patterns,Session 26,2025-11-20,NA,Homework 10,TRUE,23:59:00,NA,NA,NA,assignment/12-nets,NA
Fall Break,Session 27,2025-11-24,NA,No Class,NA,NA,NA,NA,NA,NA,(Fall Break)
Fall Break,Session 28,2025-11-26,NA,No Class,NA,NA,NA,NA,NA,NA,(Fall Break)
Predicting Spatial Patterns,Session 29,2025-12-01,NA,Data Visualization and Maps I,NA,NA,content/29-content,NA,NA,NA,NA
Predicting Spatial Patterns,Session 30,2025-12-03,NA,Data Visualization and Maps II,NA,NA,content/30-content,NA,NA,NA,NA
Predicting Spatial Patterns,Session 30,2025-12-04,NA,Assignment Revision 3,TRUE,23:59:00,NA,NA,NA,assignment/13-thirdrevision,NA
Predicting Spatial Patterns,Session 31,2025-12-08,NA,Introduction to Interactive Maps,NA,NA,content/31-content,NA,NA,NA,NA
Wrapup,Session 31,2025-12-09,NA,Draft Final Project Due,TRUE,23:59:00,NA,NA,NA,assignment/final-proj,NA
Wrapup,Session 32,2025-12-10,NA,Conclusion,NA,NA,content/32-content,NA,NA,NA,NA
Wrapup,Final Project,2025-12-11,NA,Final Project Draft,TRUE,23:59:00,NA,NA,NA,assignment/final-proj,NA
Wrapup,Session 32,2025-12-12,NA,Final Project Workday,NA,NA,NA,NA,NA,NA,(optional)
Wrapup,Final Project,2025-12-18,NA,Final Project Due,TRUE,23:59:00,NA,NA,NA,assignment/final-proj,NA
Wrapup,Final Project,2025-12-19,NA,Final Self-Evaluation Due,TRUE,23:59:00,NA,NA,NA,assignment/self-eval3,NA
